velocity_mps,snr_dB,cdf
3.0,-5.57788944723618,0.0008
3.0,-5.376884422110552,0.0008
3.0,-5.175879396984924,0.0012
3.0,-4.974874371859296,0.0012
3.0,-4.773869346733668,0.0012
3.0,-4.57286432160804,0.0014
3.0,-4.371859296482412,0.0014
3.0,-4.1708542713567835,0.0016
3.0,-3.9698492462311554,0.0018
3.0,-3.7688442211055273,0.0018
3.0,-3.567839195979899,0.002
3.0,-3.366834170854271,0.0022
3.0,-3.165829145728643,0.0022
3.0,-2.964824120603015,0.003
3.0,-2.7638190954773867,0.0038
3.0,-2.5628140703517586,0.004
3.0,-2.3618090452261304,0.0046
3.0,-2.1608040201005023,0.0052
3.0,-1.9597989949748733,0.0054
3.0,-1.7587939698492452,0.0058
3.0,-1.557788944723617,0.0064
3.0,-1.356783919597989,0.0068
3.0,-1.1557788944723608,0.007
3.0,-0.9547738693467327,0.0076
3.0,-0.7537688442211046,0.0088
3.0,-0.5527638190954764,0.01
3.0,-0.3517587939698483,0.012
3.0,-0.1507537688442202,0.0124
3.0,0.05025125628140792,0.0136
3.0,0.25125628140703604,0.0146
3.0,0.45226130653266416,0.0162
3.0,0.6532663316582923,0.018
3.0,0.8542713567839204,0.0192
3.0,1.0552763819095485,0.0214
3.0,1.2562814070351767,0.0246
3.0,1.4572864321608048,0.0256
3.0,1.658291457286433,0.0286
3.0,1.859296482412061,0.0304
3.0,2.060301507537689,0.0338
3.0,2.2613065326633173,0.0368
3.0,2.4623115577889454,0.0404
3.0,2.6633165829145735,0.0442
3.0,2.8643216080402016,0.0484
3.0,3.0653266331658298,0.0514
3.0,3.266331658291458,0.0544
3.0,3.467336683417086,0.059
3.0,3.668341708542714,0.0648
3.0,3.8693467336683423,0.0712
3.0,4.07035175879397,0.0762
3.0,4.2713567839195985,0.0814
3.0,4.472361809045227,0.0868
3.0,4.673366834170855,0.0946
3.0,4.874371859296483,0.1006
3.0,5.075376884422111,0.1056
3.0,5.276381909547739,0.1122
3.0,5.477386934673367,0.1196
3.0,5.678391959798995,0.1292
3.0,5.8793969849246235,0.1362
3.0,6.080402010050253,0.143
3.0,6.2814070351758815,0.1504
3.0,6.48241206030151,0.16
3.0,6.683417085427138,0.1716
3.0,6.884422110552766,0.1794
3.0,7.085427135678394,0.1866
3.0,7.286432160804022,0.1982
3.0,7.48743718592965,0.2096
3.0,7.688442211055278,0.2208
3.0,7.8894472361809065,0.2344
3.0,8.090452261306535,0.2406
3.0,8.291457286432163,0.2524
3.0,8.49246231155779,0.2648
3.0,8.693467336683419,0.2796
3.0,8.894472361809047,0.2904
3.0,9.095477386934675,0.3026
3.0,9.296482412060303,0.317
3.0,9.497487437185931,0.33
3.0,9.69849246231156,0.3432
3.0,9.899497487437188,0.354
3.0,10.100502512562816,0.3672
3.0,10.301507537688444,0.3804
3.0,10.502512562814072,0.3944
3.0,10.7035175879397,0.408
3.0,10.904522613065328,0.4222
3.0,11.105527638190956,0.4358
3.0,11.306532663316585,0.4494
3.0,11.507537688442213,0.4618
3.0,11.70854271356784,0.479
3.0,11.909547738693469,0.4966
3.0,12.110552763819097,0.509
3.0,12.311557788944725,0.5262
3.0,12.512562814070353,0.5396
3.0,12.713567839195981,0.5524
3.0,12.91457286432161,0.5656
3.0,13.115577889447238,0.5804
3.0,13.316582914572866,0.5942
3.0,13.517587939698494,0.6068
3.0,13.718592964824122,0.6192
3.0,13.91959798994975,0.6322
3.0,14.120603015075378,0.6454
3.0,14.321608040201006,0.6596
3.0,14.522613065326635,0.6766
3.0,14.723618090452263,0.6886
3.0,14.92462311557789,0.6982
3.0,15.125628140703519,0.7108
3.0,15.326633165829147,0.7232
3.0,15.527638190954775,0.7348
3.0,15.728643216080403,0.745
3.0,15.929648241206031,0.7592
3.0,16.13065326633166,0.7692
3.0,16.331658291457288,0.7834
3.0,16.532663316582916,0.793
3.0,16.733668341708544,0.8034
3.0,16.934673366834172,0.8128
3.0,17.1356783919598,0.821
3.0,17.33668341708543,0.832
3.0,17.537688442211056,0.8388
3.0,17.738693467336685,0.8484
3.0,17.939698492462313,0.8558
3.0,18.14070351758794,0.8654
3.0,18.34170854271357,0.8728
3.0,18.542713567839197,0.881
3.0,18.743718592964825,0.8906
3.0,18.944723618090453,0.8964
3.0,19.14572864321608,0.9022
3.0,19.34673366834171,0.907
3.0,19.547738693467338,0.9142
3.0,19.748743718592966,0.9188
3.0,19.949748743718594,0.923
3.0,20.150753768844222,0.929
3.0,20.35175879396985,0.9338
3.0,20.55276381909548,0.9374
3.0,20.753768844221106,0.9438
3.0,20.954773869346734,0.9496
